"","Iteration","Chain","Parameter","value","rate"
"1",1,1,"mu_b1",0.801145275007086,"met"
"2",2,1,"mu_b1",0.795427709329754,"met"
"3",3,1,"mu_b1",0.741680625713235,"met"
"4",4,1,"mu_b1",0.771128852234218,"met"
"5",5,1,"mu_b1",0.761010061378596,"met"
"6",6,1,"mu_b1",0.749509540047936,"met"
"7",7,1,"mu_b1",0.806575988910597,"met"
"8",8,1,"mu_b1",0.837409171198271,"met"
"9",9,1,"mu_b1",0.797960042971104,"met"
"10",10,1,"mu_b1",0.796060366440541,"met"
"11",11,1,"mu_b1",0.750137154988209,"met"
"12",12,1,"mu_b1",0.777177191192042,"met"
"13",13,1,"mu_b1",0.80270006091177,"met"
"14",14,1,"mu_b1",0.752433601407337,"met"
"15",15,1,"mu_b1",0.805522969500298,"met"
"16",16,1,"mu_b1",0.814635891215996,"met"
"17",17,1,"mu_b1",0.810244411386639,"met"
"18",18,1,"mu_b1",0.838171395139108,"met"
"19",19,1,"mu_b1",0.810074889601157,"met"
"20",20,1,"mu_b1",0.805801724283853,"met"
"21",21,1,"mu_b1",0.868751223606923,"met"
"22",22,1,"mu_b1",0.725790157119904,"met"
"23",23,1,"mu_b1",0.767227006039097,"met"
"24",24,1,"mu_b1",0.724189497951079,"met"
"25",25,1,"mu_b1",0.767470518837848,"met"
"26",26,1,"mu_b1",0.764139812185734,"met"
"27",27,1,"mu_b1",0.764392088314258,"met"
"28",28,1,"mu_b1",0.770763257966964,"met"
"29",29,1,"mu_b1",0.759938932042385,"met"
"30",30,1,"mu_b1",0.780975244459905,"met"
"31",31,1,"mu_b1",0.771297659708943,"met"
"32",32,1,"mu_b1",0.820251411709431,"met"
"33",33,1,"mu_b1",0.818451255828428,"met"
"34",34,1,"mu_b1",0.756463775707299,"met"
"35",35,1,"mu_b1",0.77329477330485,"met"
"36",36,1,"mu_b1",0.793967125611943,"met"
"37",37,1,"mu_b1",0.802540238146167,"met"
"38",38,1,"mu_b1",0.808458057042858,"met"
"39",39,1,"mu_b1",0.751941890700754,"met"
"40",40,1,"mu_b1",0.785477510401375,"met"
"41",41,1,"mu_b1",0.801034875127281,"met"
"42",42,1,"mu_b1",0.791182166875647,"met"
"43",43,1,"mu_b1",0.799192067880006,"met"
"44",44,1,"mu_b1",0.804619256030972,"met"
"45",45,1,"mu_b1",0.788845558428206,"met"
"46",46,1,"mu_b1",0.783891956600846,"met"
"47",47,1,"mu_b1",0.780880716683104,"met"
"48",48,1,"mu_b1",0.770386118622991,"met"
"49",49,1,"mu_b1",0.76934590834733,"met"
"50",50,1,"mu_b1",0.744594006776459,"met"
"51",51,1,"mu_b1",0.787704229762877,"met"
"52",52,1,"mu_b1",0.769088892392363,"met"
"53",53,1,"mu_b1",0.78433208555703,"met"
"54",54,1,"mu_b1",0.797983508169078,"met"
"55",55,1,"mu_b1",0.796344789984291,"met"
"56",56,1,"mu_b1",0.791746357395901,"met"
"57",57,1,"mu_b1",0.811129167045091,"met"
"58",58,1,"mu_b1",0.754339026478592,"met"
"59",59,1,"mu_b1",0.787256403535935,"met"
"60",60,1,"mu_b1",0.834509396060067,"met"
"61",61,1,"mu_b1",0.778754954016942,"met"
"62",62,1,"mu_b1",0.759014614066831,"met"
"63",63,1,"mu_b1",0.812220560737305,"met"
"64",64,1,"mu_b1",0.791815047669407,"met"
"65",65,1,"mu_b1",0.786126228330896,"met"
"66",66,1,"mu_b1",0.782322866257878,"met"
"67",67,1,"mu_b1",0.803345802712923,"met"
"68",68,1,"mu_b1",0.827346671011834,"met"
"69",69,1,"mu_b1",0.783348642750354,"met"
"70",70,1,"mu_b1",0.821730597111909,"met"
"71",71,1,"mu_b1",0.809616051326632,"met"
"72",72,1,"mu_b1",0.799265230568238,"met"
"73",73,1,"mu_b1",0.783344549122198,"met"
"74",74,1,"mu_b1",0.77692916782246,"met"
"75",75,1,"mu_b1",0.792655032779612,"met"
