y,mass_g,log_mass,mass_norm,log_mass_norm,temp_c,temp_arr,median_temp,above_peak_temp,common_name,species,species_ab,unit,type
4.135,10,2.302585092994046,1.4705882352941175e-4,-8.824677891164198,35,37.658672144138,24.5,Y,Cobia,Rachycentron canadum,R.canadum,g/day,;
6.208,10,2.302585092994046,1.4705882352941175e-4,-8.824677891164198,33,37.90468666083987,24.5,N,Cobia,Rachycentron canadum,R.canadum,g/day,;
5.508,10,2.302585092994046,1.4705882352941175e-4,-8.824677891164198,31,38.15393661422366,24.5,N,Cobia,Rachycentron canadum,R.canadum,g/day,;
4.64,10,2.302585092994046,1.4705882352941175e-4,-8.824677891164198,27,38.66240153661878,24.5,N,Cobia,Rachycentron canadum,R.canadum,g/day,;
2.195,10,2.302585092994046,1.4705882352941175e-4,-8.824677891164198,23,39.184601793740086,24.5,N,Cobia,Rachycentron canadum,R.canadum,g/day,;
8,30,3.4011973816621555,4.411764705882353e-4,-7.726065602496089,35,37.658672144138,24.5,Y,Cobia,Rachycentron canadum,R.canadum,g/day,;
10.965,30,3.4011973816621555,4.411764705882353e-4,-7.726065602496089,33,37.90468666083987,24.5,N,Cobia,Rachycentron canadum,R.canadum,g/day,;
9.435,30,3.4011973816621555,4.411764705882353e-4,-7.726065602496089,31,38.15393661422366,24.5,N,Cobia,Rachycentron canadum,R.canadum,g/day,;
8.055,30,3.4011973816621555,4.411764705882353e-4,-7.726065602496089,27,38.66240153661878,24.5,N,Cobia,Rachycentron canadum,R.canadum,g/day,;
3.835,30,3.4011973816621555,4.411764705882353e-4,-7.726065602496089,23,39.184601793740086,24.5,N,Cobia,Rachycentron canadum,R.canadum,g/day,;
10.418,70,4.248495242049359,0.0010294117647058824,-6.878767742108884,35,37.658672144138,24.5,Y,Cobia,Rachycentron canadum,R.canadum,g/day,;
14.985,70,4.248495242049359,0.0010294117647058824,-6.878767742108884,33,37.90468666083987,24.5,N,Cobia,Rachycentron canadum,R.canadum,g/day,;
13.745,70,4.248495242049359,0.0010294117647058824,-6.878767742108884,31,38.15393661422366,24.5,N,Cobia,Rachycentron canadum,R.canadum,g/day,;
11.198,70,4.248495242049359,0.0010294117647058824,-6.878767742108884,27,38.66240153661878,24.5,N,Cobia,Rachycentron canadum,R.canadum,g/day,;
4.978,70,4.248495242049359,0.0010294117647058824,-6.878767742108884,23,39.184601793740086,24.5,N,Cobia,Rachycentron canadum,R.canadum,g/day,;
16.253,200,5.298317366548036,0.0029411764705882353,-5.8289456176102075,35,37.658672144138,24.5,Y,Cobia,Rachycentron canadum,R.canadum,g/day,;
22.415,200,5.298317366548036,0.0029411764705882353,-5.8289456176102075,33,37.90468666083987,24.5,N,Cobia,Rachycentron canadum,R.canadum,g/day,;
20.213,200,5.298317366548036,0.0029411764705882353,-5.8289456176102075,31,38.15393661422366,24.5,N,Cobia,Rachycentron canadum,R.canadum,g/day,;
16.948,200,5.298317366548036,0.0029411764705882353,-5.8289456176102075,27,38.66240153661878,24.5,N,Cobia,Rachycentron canadum,R.canadum,g/day,;
8.39,200,5.298317366548036,0.0029411764705882353,-5.8289456176102075,23,39.184601793740086,24.5,N,Cobia,Rachycentron canadum,R.canadum,g/day,;
0.55,13.4,2.5952547069568657,5.275590551181102e-4,-7.547249746049762,15,40.27249634293294,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
1.52,33.5,3.5115454388310208,0.0013188976377952757,-6.630959014175607,15,40.27249634293294,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
5.65,202.1,5.308762624409575,0.007956692913385827,-4.833741828597053,15,40.27249634293294,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
4,108.3,4.684905154006945,0.004263779527559055,-5.457599298999683,15,40.27249634293294,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
6.66,251.4,5.527045296156147,0.009897637795275591,-4.615459156850481,15,40.27249634293294,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
5.3,160.1,5.075798620002669,0.006303149606299212,-5.066705833003959,15,40.27249634293294,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
1.09,23,3.1354942159291497,9.055118110236221e-4,-7.007010237077478,15,40.27249634293294,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
2.45,59.1,4.079230924412053,0.002326771653543307,-6.063273528594576,15,40.27249634293294,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
8.66,266.4,5.584998938666234,0.010488188976377951,-4.557505514340394,15,40.27249634293294,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
5.67,155.8,5.048573133436648,0.006133858267716536,-5.09393131956998,15,40.27249634293294,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
10.21,347.1,5.849612922867741,0.013665354330708663,-4.2928915301388875,15,40.27249634293294,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
7.97,241,5.484796933490655,0.009488188976377952,-4.657707519515973,15,40.27249634293294,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
0.97,29.8,3.3945083935113587,0.0011732283464566929,-6.747996059495269,10,40.98364761157029,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
2.32,73.9,4.302712827954156,0.002909448818897638,-5.839791625052472,10,40.98364761157029,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
0.26,4,1.3862943611198906,1.5748031496062991e-4,-8.756210091886738,10,40.98364761157029,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
4.46,187.1,5.231643233280044,0.007366141732283464,-4.910861219726584,10,40.98364761157029,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
0.71,16.7,2.8154087194227095,6.574803149606298e-4,-7.327095733583919,10,40.98364761157029,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
6.29,309.3,5.734311679691024,0.012177165354330709,-4.408192773315604,10,40.98364761157029,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
0.71,38.7,3.655839600035736,0.0015236220472440946,-6.4866648529708915,5,41.72036606584982,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
1.6,96.8,4.572646994282532,0.003811023622047244,-5.569857458724097,5,41.72036606584982,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
0.23,6,1.791759469228055,2.3622047244094488e-4,-8.350744983778572,5,41.72036606584982,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
2.57,213.8,5.365040998590945,0.00841732283464567,-4.777463454415683,5,41.72036606584982,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
0.53,23.2,3.1441522786722644,9.133858267716535e-4,-6.9983521743343635,5,41.72036606584982,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
3.88,371.2,5.916741000912046,0.014614173228346456,-4.225763452094583,5,41.72036606584982,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
5.81,72,4.276666119016055,0.0028346456692913387,-5.865838333990572,20.1,39.57210510218628,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
6.11,145,4.976733742420574,0.0057086614173228346,-5.165770710586053,20.1,39.57210510218628,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
1.81,26.1,3.261935314328648,0.0010275590551181103,-6.880569138677981,20.1,39.57210510218628,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
11.69,303.1,5.714062784063757,0.011933070866141733,-4.42844166894287,20.1,39.57210510218628,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
6.97,130.6,4.8721392168423305,0.0051417322834645665,-5.270365236164297,20.1,39.57210510218628,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
6.08,209.7,5.345677937907874,0.008255905511811023,-4.796826515098754,20.1,39.57210510218628,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
4.92,166.7,5.116195789756748,0.006562992125984252,-5.026308663249879,22,39.31736344643783,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
2.78,34.3,3.535145354171894,0.0013503937007874015,-6.607359098834734,22,39.31736344643783,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
6.35,346.2,5.847016642742108,0.013629921259842519,-4.295487810264519,22,39.31736344643783,13,Y,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
6.77,161.4,5.083885755835849,0.006354330708661418,-5.05861869717078,22,39.31736344643783,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
11.51,258.7,5.5556690891919835,0.01018503937007874,-4.586835363814645,22,39.31736344643783,13,N,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
0.16,5.2,1.6486586255873816,2.047244094488189e-4,-8.493845827419246,24.3,39.01334617991638,13,Y,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
0.21,7.7,2.0412203288596382,3.031496062992126e-4,-8.10128412414699,24.3,39.01334617991638,13,Y,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
0.83,82.8,4.416428061391214,0.003259842519685039,-5.726076391615414,24.3,39.01334617991638,13,Y,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
0.3,18.1,2.89591193827178,7.125984251968504e-4,-7.246592514734848,24.3,39.01334617991638,13,Y,Rainbow trout,Oncorhynchus mykiss,O.mykiss,g/day,;
