y,growth_rate_%/day,geom_mean_mass_g,size_group,mass_g,mass_norm_max,mass_norm_mat,opt_temp_c,opt_temp_c_ct,median_temp,common_name,species,species_ab
6.1,6.1,0.17,;,0.17,8.947368421052632e-5,0.002125,14,-4,13.5,Marbled flounder,Pseudopleuronectes yokohamae,P.yokohamae
9.57,9.57,0.84,;,0.84,4.421052631578947e-4,0.010499999999999999,20,2,13.5,Marbled flounder,Pseudopleuronectes yokohamae,P.yokohamae
7.31,7.31,2.408997,;,2.408997,0.0012678931578947368,0.0301124625,20,2,13.5,Marbled flounder,Pseudopleuronectes yokohamae,P.yokohamae
4.4,4.4,14.8324,;,14.8324,0.0015613052631578948,0.007346409113422487,15.7,2.25,6,Lumpfish,Cyclopterus lumpus,C.lumpus
3.3,3.3,28.28427,;,28.28427,0.0029772915789473683,0.014009049034175334,16.1,2.650000000000002,6,Lumpfish,Cyclopterus lumpus,C.lumpus
2,2,104.8809,;,104.8809,0.011040094736842105,0.05194695393759287,13.1,-0.34999999999999964,6,Lumpfish,Cyclopterus lumpus,C.lumpus
1.6,1.6,154.9193,;,154.9193,0.016307294736842105,0.07673070827142149,8.9,-4.549999999999999,6,Lumpfish,Cyclopterus lumpus,C.lumpus
6.53,6.53,8.84,;,8.84,9.714285714285714e-4,0.020462962962962964,25,2.5,16.8,Japanese flounder,Paralichthys olivaceus,P.olivaceus
4.1,4.1,26.07,;,26.07,0.0028648351648351647,0.060347222222222226,20,-2.5,16.8,Japanese flounder,Paralichthys olivaceus,P.olivaceus
1.5,1.5,102.92,;,102.92,0.01130989010989011,0.23824074074074075,20,-2.5,16.8,Japanese flounder,Paralichthys olivaceus,P.olivaceus
1.69,1.69,211.96,;,211.96,0.023292307692307692,0.49064814814814817,25,2.5,16.8,Japanese flounder,Paralichthys olivaceus,P.olivaceus
1.8,1.8,;,28.28427,28.28427,0.001885618,0.23570225,15.2,0.5999999999999996,10,Arctic char,Salvelinus alpinus,S.alpinus
1.24,1.24,;,79.05694,79.05694,0.005270462666666666,0.6588078333333333,14,-0.5999999999999996,10,Arctic char,Salvelinus alpinus,S.alpinus
1.95,1.95,;,110,110,0.0023504273504273503,0.024685816876122084,12.8,-0.5999999999999996,6,Atlantic salmon,Salmo salar,S.salar
